ID,例文,質問内容,解答,,,,,,,,,,,
173,char型の記憶できる値の範囲は英数字1文字です。（-128~127）,char型の記憶できる値の範囲は？,英数字1文字です。（-128~127）,,,,,,,,,,173,
174,値を１増やすことをインクリメントといいます。,インクリメントって何ですか？,値を１増やすことをインクリメントといいます。,,,,,,,,,,174,
175,unsigned char型の記憶できる値の範囲は、英数字1文字（符号なし）です。（0~255）,unsigned char型の記憶できる値の範囲は？,英数字1文字（符号なし）です。（0~255）,,,,,,,,,,175,
176,short int型の記憶できる値の範囲は、整数です。（-32768~32767）,short int型の記憶できる値の範囲は？,整数です。（-32768~32767）,,,,,,,,,,176,
177,unsigned short int型の記憶できる値の範囲は、整数（符号なし）です。（0~65535）,unsigned short int型の記憶できる値の範囲は？,整数（符号なし）です。（0~65535）,,,,,,,,,,177,
178,int型の記憶できる値の範囲は、整数です。（-2147483648~2147483647）,int型の記憶できる値の範囲は？,整数です。（-2147483648~2147483647）,,,,,,,,,,178,
179,unsigned int型の記憶できる値の範囲は整数です（符号なし）。（0~4294967295）,unsigned int型の記憶できる値の範囲は？,整数です（符号なし）。（0~4294967295）,,,,,,,,,,179,
180,long int型の記憶できる値の範囲は、長整数です。（-2147483648~2147483647）,long int型の記憶できる値の範囲は？,長整数です。（-2147483648~2147483647）,,,,,,,,,,180,
181,unsigned long int型の記憶できる値の範囲は長整数です（符号なし）。（0~4294967295）,unsigned long int型の記憶できる値の範囲は？,長整数です（符号なし）。（0~4294967295）,,,,,,,,,,181,
182,float型の記憶できる値の範囲は、単精度浮動小数点です。（3.4E-38~3.4E+38）,float型の記憶できる値の範囲は？,単精度浮動小数点です。（3.4E-38~3.4E+38）,,,,,,,,,,182,
183,double型の記憶できる値の範囲は、倍精度浮動小数点です。（1.7E-308~1.7E+308）,double型の記憶できる値の範囲は？,倍精度浮動小数点です。（1.7E-308~1.7E+308）,,,,,,,,,,183,
184,long double型の記憶できる値の範囲は、拡張倍精度浮動小数点です。（1.7E-308~1.7E+308）,long double型の記憶できる値の範囲は？,拡張倍精度浮動小数点です。（1.7E-308~1.7E+308）,,,,,,,,,,184,
